match_id,team,opponent,venue,runs_scored,wickets_lost,overs_played,result,player_of_match,match_date
53,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,141,5,20,Loss,Jadeja,2023-05-23
54,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,202,3,20,Win,MS Dhoni,2023-05-24
55,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,219,3,20,Win,MS Dhoni,2023-05-25
56,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,171,9,20,Loss,Bumrah,2023-05-26
57,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,210,10,20,Loss,Bumrah,2023-05-27
58,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,197,7,20,Win,Rohit Sharma,2023-05-28
59,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,160,6,20,Win,Jadeja,2023-05-29
60,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,177,7,20,Win,MS Dhoni,2023-05-30
61,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,155,7,20,Win,Rohit Sharma,2023-05-31
62,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,183,5,20,Loss,Bumrah,2023-06-01
63,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,204,3,20,Loss,MS Dhoni,2023-06-02
64,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,189,9,20,Loss,Jadeja,2023-06-03
65,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,175,5,20,Loss,Bumrah,2023-06-04
66,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,218,8,20,Win,MS Dhoni,2023-06-05
67,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,179,7,20,Loss,Bumrah,2023-06-06
68,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,153,10,20,Loss,Rohit Sharma,2023-06-07
69,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,140,5,20,Win,Jadeja,2023-06-08
70,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,174,4,20,Loss,Rohit Sharma,2023-06-09
71,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,208,9,20,Loss,Jadeja,2023-06-10
72,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,148,5,20,Win,Rohit Sharma,2023-06-11
73,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,153,4,20,Loss,Jadeja,2023-06-12
74,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,203,3,20,Loss,Bumrah,2023-06-13
75,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,142,3,20,Win,Jadeja,2023-06-14
76,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,160,9,20,Loss,Bumrah,2023-06-15
77,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,155,3,20,Loss,Jadeja,2023-06-16
78,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,165,6,20,Loss,MS Dhoni,2023-06-17
79,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,190,7,20,Loss,Rohit Sharma,2023-06-18
80,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,160,8,20,Win,Jadeja,2023-06-19
81,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,144,3,20,Loss,Rohit Sharma,2023-06-20
82,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,167,5,20,Loss,MS Dhoni,2023-06-21
83,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,172,5,20,Win,Rohit Sharma,2023-06-22
84,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,150,9,20,Win,MS Dhoni,2023-06-23
85,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,200,5,20,Win,Bumrah,2023-06-24
86,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,126,9,20,Win,Rohit Sharma,2023-06-25
87,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,146,4,20,Win,Bumrah,2023-06-26
88,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,122,5,20,Loss,Bumrah,2023-06-27
89,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,137,5,20,Win,MS Dhoni,2023-06-28
90,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,199,7,20,Win,MS Dhoni,2023-06-29
91,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,213,10,20,Loss,MS Dhoni,2023-06-30
92,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,193,9,20,Loss,Bumrah,2023-07-01
93,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,188,10,20,Loss,Jadeja,2023-07-02
94,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,124,3,20,Win,Bumrah,2023-07-03
95,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,149,7,20,Win,Rohit Sharma,2023-07-04
96,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,129,9,20,Loss,Rohit Sharma,2023-07-05
97,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,216,5,20,Loss,Bumrah,2023-07-06
98,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,199,3,20,Win,Jadeja,2023-07-07
99,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,216,6,20,Loss,Bumrah,2023-07-08
100,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,210,4,20,Loss,Rohit Sharma,2023-07-09
101,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,126,5,20,Win,Jadeja,2023-07-10
102,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,170,8,20,Win,Bumrah,2023-07-11
103,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,156,3,20,Loss,Jadeja,2023-07-12
104,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,151,7,20,Win,Bumrah,2023-07-13
105,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,192,5,20,Win,Jadeja,2023-07-14
106,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,140,4,20,Loss,MS Dhoni,2023-07-15
107,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,215,7,20,Win,Jadeja,2023-07-16
108,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,163,9,20,Loss,MS Dhoni,2023-07-17
109,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,156,6,20,Loss,Rohit Sharma,2023-07-18
110,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,179,4,20,Win,Jadeja,2023-07-19
111,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,219,4,20,Loss,Rohit Sharma,2023-07-20
112,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,165,4,20,Loss,Rohit Sharma,2023-07-21
113,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,121,6,20,Win,Rohit Sharma,2023-07-22
114,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,215,4,20,Loss,MS Dhoni,2023-07-23
115,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,127,3,20,Loss,Rohit Sharma,2023-07-24
116,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,159,3,20,Win,Bumrah,2023-07-25
117,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,143,5,20,Loss,Jadeja,2023-07-26
118,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,129,4,20,Win,Jadeja,2023-07-27
119,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,190,7,20,Loss,Bumrah,2023-07-28
120,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,131,8,20,Loss,Rohit Sharma,2023-07-29
121,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,217,10,20,Loss,Jadeja,2023-07-30
122,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,184,9,20,Win,Jadeja,2023-07-31
123,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,140,7,20,Win,Bumrah,2023-08-01
124,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,177,5,20,Loss,Rohit Sharma,2023-08-02
125,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,211,4,20,Win,MS Dhoni,2023-08-03
126,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,201,3,20,Loss,MS Dhoni,2023-08-04
127,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,140,3,20,Win,Rohit Sharma,2023-08-05
128,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,154,9,20,Loss,Rohit Sharma,2023-08-06
129,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,202,5,20,Win,Jadeja,2023-08-07
130,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,193,10,20,Win,Jadeja,2023-08-08
131,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,188,9,20,Win,Jadeja,2023-08-09
132,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,196,5,20,Win,Bumrah,2023-08-10
133,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,197,4,20,Win,Bumrah,2023-08-11
134,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,218,5,20,Win,Jadeja,2023-08-12
135,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,161,5,20,Loss,Rohit Sharma,2023-08-13
136,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,184,9,20,Win,MS Dhoni,2023-08-14
137,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,187,9,20,Win,Rohit Sharma,2023-08-15
138,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,179,9,20,Win,Jadeja,2023-08-16
139,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,144,10,20,Loss,Rohit Sharma,2023-08-17
140,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,202,10,20,Win,Jadeja,2023-08-18
141,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,171,9,20,Loss,Jadeja,2023-08-19
142,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,196,7,20,Win,Rohit Sharma,2023-08-20
143,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,216,4,20,Win,MS Dhoni,2023-08-21
144,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,152,8,20,Loss,Rohit Sharma,2023-08-22
145,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,198,9,20,Win,Rohit Sharma,2023-08-23
146,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,152,6,20,Win,MS Dhoni,2023-08-24
147,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,197,6,20,Win,Rohit Sharma,2023-08-25
148,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,144,10,20,Loss,Jadeja,2023-08-26
149,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,152,8,20,Win,Bumrah,2023-08-27
150,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,124,3,20,Win,MS Dhoni,2023-08-28
151,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,194,6,20,Loss,Jadeja,2023-08-29
152,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,181,5,20,Loss,MS Dhoni,2023-08-30
153,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,157,10,20,Win,Jadeja,2023-08-31
154,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,189,4,20,Win,Bumrah,2023-09-01
155,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,204,7,20,Loss,Bumrah,2023-09-02
156,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,200,10,20,Loss,MS Dhoni,2023-09-03
157,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,164,10,20,Loss,Jadeja,2023-09-04
158,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,177,10,20,Loss,Bumrah,2023-09-05
159,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,168,5,20,Loss,MS Dhoni,2023-09-06
160,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,135,5,20,Loss,Rohit Sharma,2023-09-07
161,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,122,8,20,Loss,Jadeja,2023-09-08
162,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,153,6,20,Loss,Bumrah,2023-09-09
163,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,155,5,20,Loss,Rohit Sharma,2023-09-10
164,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,140,9,20,Win,Rohit Sharma,2023-09-11
165,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,199,6,20,Win,Rohit Sharma,2023-09-12
166,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,179,7,20,Win,Rohit Sharma,2023-09-13
167,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,172,4,20,Win,Bumrah,2023-09-14
168,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,152,6,20,Loss,Bumrah,2023-09-15
169,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,149,5,20,Loss,Bumrah,2023-09-16
170,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,168,10,20,Win,Bumrah,2023-09-17
171,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,125,5,20,Loss,Jadeja,2023-09-18
172,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,140,10,20,Loss,Jadeja,2023-09-19
173,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,154,3,20,Loss,Rohit Sharma,2023-09-20
174,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,147,6,20,Loss,Bumrah,2023-09-21
175,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,163,7,20,Loss,Bumrah,2023-09-22
176,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,214,8,20,Win,Rohit Sharma,2023-09-23
177,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,209,6,20,Win,MS Dhoni,2023-09-24
178,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,206,4,20,Loss,Rohit Sharma,2023-09-25
179,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,128,5,20,Loss,MS Dhoni,2023-09-26
180,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,188,10,20,Win,Jadeja,2023-09-27
181,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,162,5,20,Win,Bumrah,2023-09-28
182,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,143,7,20,Loss,Bumrah,2023-09-29
183,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,154,3,20,Win,Rohit Sharma,2023-09-30
184,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,136,8,20,Win,Rohit Sharma,2023-10-01
185,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,162,5,20,Loss,Jadeja,2023-10-02
186,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,137,3,20,Loss,Jadeja,2023-10-03
187,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,217,3,20,Win,Jadeja,2023-10-04
188,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,167,10,20,Loss,Jadeja,2023-10-05
189,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,190,3,20,Win,Rohit Sharma,2023-10-06
190,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,186,5,20,Loss,Bumrah,2023-10-07
191,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,178,9,20,Win,Jadeja,2023-10-08
192,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,164,3,20,Loss,MS Dhoni,2023-10-09
193,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,133,10,20,Win,Jadeja,2023-10-10
194,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,141,9,20,Win,MS Dhoni,2023-10-11
195,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,153,8,20,Loss,Rohit Sharma,2023-10-12
196,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,152,10,20,Loss,Rohit Sharma,2023-10-13
197,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,182,8,20,Win,Rohit Sharma,2023-10-14
198,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,174,8,20,Win,Bumrah,2023-10-15
199,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,129,3,20,Loss,Bumrah,2023-10-16
200,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,128,6,20,Win,Jadeja,2023-10-17
201,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,220,7,20,Win,Jadeja,2023-10-18
202,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,151,5,20,Win,MS Dhoni,2023-10-19
203,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,212,3,20,Loss,Bumrah,2023-10-20
204,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,131,4,20,Win,Jadeja,2023-10-21
205,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,145,5,20,Loss,Bumrah,2023-10-22
206,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,124,5,20,Loss,Bumrah,2023-10-23
207,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,220,4,20,Win,Bumrah,2023-10-24
208,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,125,6,20,Win,Rohit Sharma,2023-10-25
209,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,209,10,20,Win,MS Dhoni,2023-10-26
210,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,195,6,20,Loss,Jadeja,2023-10-27
211,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,180,7,20,Loss,Bumrah,2023-10-28
212,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,196,8,20,Win,MS Dhoni,2023-10-29
213,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,120,6,20,Loss,Bumrah,2023-10-30
214,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,142,9,20,Win,Jadeja,2023-10-31
215,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,168,7,20,Win,MS Dhoni,2023-11-01
216,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,196,6,20,Loss,Jadeja,2023-11-02
217,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,192,3,20,Win,Rohit Sharma,2023-11-03
218,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,129,8,20,Win,Jadeja,2023-11-04
219,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,214,10,20,Loss,Rohit Sharma,2023-11-05
220,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,177,7,20,Win,MS Dhoni,2023-11-06
221,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,132,10,20,Loss,Jadeja,2023-11-07
222,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,201,4,20,Win,Bumrah,2023-11-08
223,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,182,8,20,Loss,Rohit Sharma,2023-11-09
224,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,192,10,20,Loss,Rohit Sharma,2023-11-10
225,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,146,10,20,Loss,Bumrah,2023-11-11
226,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,186,4,20,Loss,MS Dhoni,2023-11-12
227,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,169,4,20,Win,MS Dhoni,2023-11-13
228,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,185,6,20,Loss,Jadeja,2023-11-14
229,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,154,5,20,Win,Rohit Sharma,2023-11-15
230,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,220,4,20,Loss,Rohit Sharma,2023-11-16
231,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,134,5,20,Win,Jadeja,2023-11-17
232,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,159,4,20,Win,MS Dhoni,2023-11-18
233,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,132,3,20,Win,Jadeja,2023-11-19
234,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,173,9,20,Win,Jadeja,2023-11-20
235,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,127,9,20,Win,Rohit Sharma,2023-11-21
236,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,201,7,20,Loss,Bumrah,2023-11-22
237,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,204,3,20,Win,Jadeja,2023-11-23
238,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,220,9,20,Loss,Bumrah,2023-11-24
239,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,198,6,20,Win,Bumrah,2023-11-25
240,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,182,7,20,Win,Jadeja,2023-11-26
241,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,123,8,20,Win,Rohit Sharma,2023-11-27
242,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,218,9,20,Win,Jadeja,2023-11-28
243,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,203,5,20,Loss,MS Dhoni,2023-11-29
244,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,120,8,20,Win,Bumrah,2023-11-30
245,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,142,3,20,Loss,Rohit Sharma,2023-12-01
246,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,177,9,20,Loss,MS Dhoni,2023-12-02
247,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,129,8,20,Win,Bumrah,2023-12-03
248,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,133,9,20,Loss,Bumrah,2023-12-04
249,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,176,9,20,Loss,MS Dhoni,2023-12-05
250,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,182,8,20,Win,Jadeja,2023-12-06
251,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,120,5,20,Win,Bumrah,2023-12-07
252,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,168,3,20,Win,MS Dhoni,2023-12-08
253,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,150,6,20,Win,MS Dhoni,2023-12-09
254,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,161,9,20,Loss,MS Dhoni,2023-12-10
